 time            v(d_p)          v(d_n)          v(vos)          vod             v(x1.core_p)    v(x1.core_n)   
 4.07500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835143e-08  1.19999995e+00 
 4.12500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835105e-08  1.19999995e+00 
 4.17500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835136e-08  1.19999995e+00 
 4.22500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835149e-08  1.19999995e+00 
 4.27500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835149e-08  1.19999995e+00 
 4.32500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835113e-08  1.19999995e+00 
 4.37500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835102e-08  1.19999995e+00 
 4.42500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835029e-08  1.19999995e+00 
 4.47500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835011e-08  1.19999995e+00 
 4.52500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835115e-08  1.19999995e+00 
 4.57500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835076e-08  1.19999995e+00 
 4.62500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835127e-08  1.19999995e+00 
 4.67500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835145e-08  1.19999995e+00 
 4.72500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835151e-08  1.19999995e+00 
 4.77500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835078e-08  1.19999995e+00 
 4.82500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835130e-08  1.19999995e+00 
 4.87500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835147e-08  1.19999995e+00 
 4.92500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835152e-08  1.19999995e+00 
 4.96250000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835141e-08  1.19999995e+00 
 5.00000000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835053e-08  1.19999995e+00 
 5.00500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835088e-08  1.19999995e+00 
 5.01500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835045e-08  1.19999995e+00 
 5.03500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835060e-08  1.19999995e+00 
 5.07500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835142e-08  1.19999995e+00 
 5.12500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94834976e-08  1.19999995e+00 
 5.17500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835101e-08  1.19999995e+00 
 5.22500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835144e-08  1.19999995e+00 
 5.26250000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835093e-08  1.19999995e+00 
 5.30000000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835064e-08  1.19999995e+00 
 5.30500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835027e-08  1.19999995e+00 
 5.31500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835068e-08  1.19999995e+00 
 5.33500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835075e-08  1.19999995e+00 
 5.37500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835203e-08  1.19999995e+00 
 5.42500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835055e-08  1.19999995e+00 
