 time            v(d_p)          v(d_n)          v(x1.gclk_b)   
 2.29000000e-10  1.19999995e+00  1.19999995e+00 -2.97952697e-07 
 2.31000000e-10  1.19999995e+00  1.19999995e+00 -2.69057405e-07 
 2.33000000e-10  1.19999995e+00  1.19999995e+00 -2.34295671e-07 
 2.35000000e-10  1.19999995e+00  1.19999995e+00 -1.97501783e-07 
 2.37000000e-10  1.19999995e+00  1.19999995e+00 -1.61512575e-07 
 2.39000000e-10  1.19999995e+00  1.19999995e+00 -1.28148921e-07 
 2.41000000e-10  1.19999995e+00  1.19999995e+00 -9.81986989e-08 
 2.43000000e-10  1.19999995e+00  1.19999995e+00 -7.13977914e-08 
 2.45000000e-10  1.19999995e+00  1.19999995e+00 -4.65303987e-08 
 2.47000000e-10  1.19999995e+00  1.19999995e+00 -2.20264043e-08 
 2.49000000e-10  1.19999995e+00  1.19999995e+00  2.84101788e-09 
 2.51000000e-10  1.19999995e+00  1.19999995e+00  2.73233238e-08 
 2.53000000e-10  1.19999995e+00  1.19999995e+00  5.02617347e-08 
 2.55000000e-10  1.19999995e+00  1.19999995e+00  7.12397186e-08 
 2.57000000e-10  1.19999995e+00  1.19999995e+00  9.05901752e-08 
 2.59000000e-10  1.19999995e+00  1.19999995e+00  1.08872440e-07 
 2.61000000e-10  1.19999995e+00  1.19999995e+00  1.26501743e-07 
 2.63000000e-10  1.19999995e+00  1.19999995e+00  1.43580588e-07 
 2.65000000e-10  1.19999995e+00  1.19999995e+00  1.58199818e-07 
 2.67000000e-10  1.19999995e+00  1.19999995e+00  1.60073782e-07 
 2.69000000e-10  1.19999995e+00  1.19999995e+00  1.39603405e-07 
 2.71000000e-10  1.19999995e+00  1.19999995e+00  1.04358867e-07 
 2.73000000e-10  1.19999995e+00  1.19999995e+00  6.83102817e-08 
 2.75000000e-10  1.19999995e+00  1.19999995e+00  4.05834260e-08 
 2.77000000e-10  1.19999995e+00  1.19999995e+00  2.43976243e-08 
 2.79000000e-10  1.19999995e+00  1.19999995e+00  1.19290162e-08 
 2.81000000e-10  1.19999995e+00  1.19999995e+00 -2.02044607e-08 
 2.83000000e-10  1.19999995e+00  1.19999995e+00 -9.69407801e-08 
 2.85000000e-10  1.19999995e+00  1.19999995e+00 -2.39704828e-07 
 2.87000000e-10  1.19999995e+00  1.19999995e+00 -4.64015664e-07 
 2.89000000e-10  1.19999995e+00  1.19999995e+00 -7.59789149e-07 
 2.91000000e-10  1.19999995e+00  1.19999995e+00 -1.09015632e-06 
 2.93000000e-10  1.19999995e+00  1.19999995e+00 -1.39004067e-06 
 2.95000000e-10  1.19999995e+00  1.19999995e+00 -1.51497044e-06 
 2.97000000e-10  1.19999996e+00  1.19999996e+00 -1.35639342e-06 
 2.99000000e-10  1.19999996e+00  1.19999996e+00 -9.62383905e-07 
 3.01000000e-10  1.19999996e+00  1.19999996e+00 -4.36231696e-07 
 3.03000000e-10  1.19999996e+00  1.19999996e+00  1.21068522e-07 
 3.05000000e-10  1.19999996e+00  1.19999996e+00  6.27208220e-07 
 3.07000000e-10  1.19999996e+00  1.19999996e+00  1.03364476e-06 
 3.09000000e-10  1.19999996e+00  1.19999995e+00  1.33173071e-06 
 3.11000000e-10  1.19999995e+00  1.19999995e+00  1.54261335e-06 
 3.13000000e-10  1.19999995e+00  1.19999995e+00  1.70834144e-06 
 3.15000000e-10  1.19999995e+00  1.19999995e+00  1.90267190e-06 
 3.17000000e-10  1.19999995e+00  1.19999995e+00  2.17710946e-06 
 3.19000000e-10  1.19999995e+00  1.19999996e+00  2.53690488e-06 
 3.21000000e-10  1.19999995e+00  1.19999996e+00  2.95539778e-06 
 3.23000000e-10  1.19999995e+00  1.19999996e+00  3.38316855e-06 
 3.25000000e-10  1.19999995e+00  1.19999996e+00  3.74039991e-06 
 3.27000000e-10  1.19999995e+00  1.19999995e+00  3.88925501e-06 
 3.29000000e-10  1.19999995e+00  1.19999995e+00  3.70125186e-06 
 3.31000000e-10  1.19999995e+00  1.19999995e+00  3.18433264e-06 
 3.33000000e-10  1.19999995e+00  1.19999995e+00  2.44060394e-06 
 3.35000000e-10  1.19999995e+00  1.19999995e+00  1.58086012e-06 
 3.37000000e-10  1.19999995e+00  1.19999995e+00  6.88844377e-07 
 3.39000000e-10  1.19999995e+00  1.19999995e+00 -1.70943376e-07 
 3.41000000e-10  1.19999995e+00  1.19999995e+00 -9.28086882e-07 
 3.43000000e-10  1.19999995e+00  1.19999995e+00 -1.52382107e-06 
 3.45000000e-10  1.19999996e+00  1.19999995e+00 -1.91333570e-06 
 3.47000000e-10  1.19999996e+00  1.19999996e+00 -2.10375940e-06 
 3.49000000e-10  1.19999995e+00  1.19999996e+00 -2.16325250e-06 
 3.51000000e-10  1.19999995e+00  1.19999996e+00 -2.14800388e-06 
 3.53000000e-10  1.19999995e+00  1.19999996e+00 -2.08267970e-06 
 3.55000000e-10  1.19999995e+00  1.19999996e+00 -1.98476828e-06 
 3.57000000e-10  1.19999995e+00  1.19999996e+00 -1.87070544e-06 
 3.59000000e-10  1.19999995e+00  1.19999996e+00 -1.75444670e-06 
 3.61000000e-10  1.19999996e+00  1.19999996e+00 -1.64256739e-06 
 3.63000000e-10  1.19999996e+00  1.19999995e+00 -1.54151431e-06 
 3.65000000e-10  1.19999996e+00  1.19999995e+00 -1.46203888e-06 
 3.67000000e-10  1.19999996e+00  1.19999995e+00 -1.41994637e-06 
 3.69000000e-10  1.19999996e+00  1.19999995e+00 -1.42920432e-06 
 3.71000000e-10  1.19999996e+00  1.19999995e+00 -1.49508569e-06 
 3.73000000e-10  1.19999996e+00  1.19999995e+00 -1.61006778e-06 
 3.75000000e-10  1.19999996e+00  1.19999995e+00 -1.75868528e-06 
 3.77000000e-10  1.19999995e+00  1.19999995e+00 -1.92506350e-06 
 3.79000000e-10  1.19999995e+00  1.19999995e+00 -2.09953097e-06 
 3.81000000e-10  1.19999995e+00  1.19999995e+00 -2.27904575e-06 
 3.83000000e-10  1.19999995e+00  1.19999995e+00 -2.46555021e-06 
 3.85000000e-10  1.19999995e+00  1.19999995e+00 -2.66244862e-06 
 3.87000000e-10  1.19999995e+00  1.19999995e+00 -2.87307712e-06 
 3.89000000e-10  1.19999995e+00  1.19999995e+00 -3.09908755e-06 
 3.91000000e-10  1.19999995e+00  1.19999995e+00 -3.34079111e-06 
 3.93000000e-10  1.19999995e+00  1.19999995e+00 -3.59616335e-06 
 3.95000000e-10  1.19999995e+00  1.19999995e+00 -3.86144515e-06 
 3.97000000e-10  1.19999995e+00  1.19999995e+00 -4.13138047e-06 
 3.99000000e-10  1.19999995e+00  1.19999995e+00 -4.39975042e-06 
 4.01000000e-10  1.19999995e+00  1.19999995e+00 -4.65929587e-06 
 4.03000000e-10  1.19999995e+00  1.19999995e+00 -4.90347021e-06 
 4.05000000e-10  1.19999995e+00  1.19999995e+00 -5.12706503e-06 
 4.07000000e-10  1.19999995e+00  1.19999995e+00 -5.32594890e-06 
 4.09000000e-10  1.19999995e+00  1.19999995e+00 -5.49224453e-06 
 4.11000000e-10  1.19999995e+00  1.19999996e+00 -5.61531778e-06 
