 time            v(d_p)          v(d_n)          v(x1.gclk_b)    v(mode)         v(en)          
 3.32500000e-10  5.94835209e-08  1.19999995e+00  1.12651286e-07  0.00000000e+00  0.00000000e+00 
 3.37500000e-10  5.94835225e-08  1.19999995e+00  1.12992567e-07  0.00000000e+00  0.00000000e+00 
 3.42500000e-10  5.94835197e-08  1.19999995e+00  1.12783429e-07  0.00000000e+00  0.00000000e+00 
 3.47500000e-10  5.94835205e-08  1.19999995e+00  1.13115732e-07  0.00000000e+00  0.00000000e+00 
 3.52500000e-10  5.94835137e-08  1.19999995e+00  1.12890239e-07  0.00000000e+00  0.00000000e+00 
 3.57500000e-10  5.94835113e-08  1.19999995e+00  1.13212491e-07  0.00000000e+00  0.00000000e+00 
 3.62500000e-10  5.94835121e-08  1.19999995e+00  1.12972422e-07  0.00000000e+00  0.00000000e+00 
 3.67500000e-10  5.94835125e-08  1.19999995e+00  1.13285499e-07  0.00000000e+00  0.00000000e+00 
 3.72500000e-10  5.94835116e-08  1.19999995e+00  1.13033875e-07  0.00000000e+00  0.00000000e+00 
 3.77500000e-10  5.94835146e-08  1.19999995e+00  1.13339592e-07  0.00000000e+00  0.00000000e+00 
 3.82500000e-10  5.94835145e-08  1.19999995e+00  1.13076872e-07  0.00000000e+00  0.00000000e+00 
 3.87500000e-10  5.94835129e-08  1.19999995e+00  1.13380308e-07  0.00000000e+00  0.00000000e+00 
 3.92500000e-10  5.94835109e-08  1.19999995e+00  1.13115392e-07  0.00000000e+00  0.00000000e+00 
 3.97500000e-10  5.94835125e-08  1.19999995e+00  1.13408831e-07  0.00000000e+00  0.00000000e+00 
 4.02500000e-10  5.94835115e-08  1.19999995e+00  1.13137960e-07  0.00000000e+00  0.00000000e+00 
 4.07500000e-10  5.94835072e-08  1.19999995e+00  1.13429107e-07  0.00000000e+00  0.00000000e+00 
 4.12500000e-10  5.94835060e-08  1.19999995e+00  1.13155708e-07  0.00000000e+00  0.00000000e+00 
 4.17500000e-10  5.94835058e-08  1.19999995e+00  1.13444938e-07  0.00000000e+00  0.00000000e+00 
 4.22500000e-10  5.94835093e-08  1.19999995e+00  1.13169526e-07  0.00000000e+00  0.00000000e+00 
 4.27500000e-10  5.94835103e-08  1.19999995e+00  1.13456785e-07  0.00000000e+00  0.00000000e+00 
 4.32500000e-10  5.94835107e-08  1.19999995e+00  1.13179946e-07  0.00000000e+00  0.00000000e+00 
 4.37500000e-10  5.94835093e-08  1.19999995e+00  1.13465451e-07  0.00000000e+00  0.00000000e+00 
 4.42500000e-10  5.94835118e-08  1.19999995e+00  1.13187839e-07  0.00000000e+00  0.00000000e+00 
 4.47500000e-10  5.94835107e-08  1.19999995e+00  1.13471729e-07  0.00000000e+00  0.00000000e+00 
 4.52500000e-10  5.94835136e-08  1.19999995e+00  1.13193825e-07  0.00000000e+00  0.00000000e+00 
 4.57500000e-10  5.94835112e-08  1.19999995e+00  1.13476242e-07  0.00000000e+00  0.00000000e+00 
 4.62500000e-10  5.94835127e-08  1.19999995e+00  1.13198485e-07  0.00000000e+00  0.00000000e+00 
 4.67500000e-10  5.94835096e-08  1.19999995e+00  1.13479471e-07  0.00000000e+00  0.00000000e+00 
 4.72500000e-10  5.94835080e-08  1.19999995e+00  1.13202184e-07  0.00000000e+00  0.00000000e+00 
 4.77500000e-10  5.94835050e-08  1.19999995e+00  1.13481735e-07  0.00000000e+00  0.00000000e+00 
 4.82500000e-10  5.94835090e-08  1.19999995e+00  1.13205156e-07  0.00000000e+00  0.00000000e+00 
 4.87500000e-10  5.94835091e-08  1.19999995e+00  1.13483275e-07  0.00000000e+00  0.00000000e+00 
 4.92500000e-10  5.94835144e-08  1.19999995e+00  1.13207624e-07  0.00000000e+00  0.00000000e+00 
 4.96250000e-10  5.94835097e-08  1.19999995e+00  1.13484111e-07  0.00000000e+00  0.00000000e+00 
 5.00000000e-10  5.94835071e-08  1.19999995e+00  1.13209813e-07  0.00000000e+00  0.00000000e+00 
 5.00500000e-10  5.94782808e-08  1.19999995e+00 -1.40531946e-07  0.00000000e+00  0.00000000e+00 
 5.01500000e-10  5.94712269e-08  1.19999995e+00 -5.21210830e-07  0.00000000e+00  0.00000000e+00 
 5.03500000e-10  5.94855372e-08  1.19999995e+00 -4.50001130e-07  0.00000000e+00  0.00000000e+00 
 5.07500000e-10  5.95014521e-08  1.19999995e+00  3.76645848e-07  0.00000000e+00  0.00000000e+00 
 5.12500000e-10  5.94714998e-08  1.19999995e+00  5.97463344e-07  0.00000000e+00  0.00000000e+00 
 5.17500000e-10  5.94749475e-08  1.19999995e+00  4.03390350e-07  0.00000000e+00  0.00000000e+00 
 5.22500000e-10  5.94886299e-08  1.19999995e+00  3.88504111e-07  0.00000000e+00  0.00000000e+00 
 5.26250000e-10  5.94869345e-08  1.19999995e+00  2.98404825e-07  0.00000000e+00  0.00000000e+00 
 5.30000000e-10  5.94835827e-08  1.19999995e+00  6.58186241e-08  0.00000000e+00  0.00000000e+00 
 5.30500000e-10  5.94886883e-08  1.19999995e+00  2.67427721e-07  0.00000000e+00  0.00000000e+00 
 5.31500000e-10  5.94939125e-08  1.19999995e+00  4.70740722e-07  0.00000000e+00  0.00000000e+00 
 5.33500000e-10  5.94797119e-08  1.19999995e+00  1.12758855e-07  0.00000000e+00  0.00000000e+00 
 5.37500000e-10  5.94746136e-08  1.19999995e+00 -6.68628076e-07  0.00000000e+00  0.00000000e+00 
 5.42500000e-10  5.94976198e-08  1.19999995e+00 -6.27428639e-07  0.00000000e+00  0.00000000e+00 
 5.47500000e-10  5.94860678e-08  1.19999995e+00 -1.65407593e-07  0.00000000e+00  0.00000000e+00 
 5.52500000e-10  5.94750107e-08  1.19999995e+00  1.82440824e-07  0.00000000e+00  0.00000000e+00 
 5.57500000e-10  5.94765866e-08  1.19999995e+00  3.22739857e-07  0.00000000e+00  0.00000000e+00 
 5.62500000e-10  5.94834373e-08  1.19999995e+00  3.44679332e-07  0.00000000e+00  0.00000000e+00 
 5.67500000e-10  5.94860794e-08  1.19999995e+00  2.94068192e-07  0.00000000e+00  0.00000000e+00 
 5.72500000e-10  5.94866797e-08  1.19999995e+00  2.26508722e-07  0.00000000e+00  0.00000000e+00 
 5.77500000e-10  5.94847916e-08  1.19999995e+00  1.21720515e-07  0.00000000e+00  0.00000000e+00 
 5.82500000e-10  5.94840470e-08  1.19999995e+00  2.25174683e-09  0.00000000e+00  0.00000000e+00 
 5.87500000e-10  5.94833021e-08  1.19999995e+00 -1.23127085e-07  0.00000000e+00  0.00000000e+00 
 5.92500000e-10  5.94833352e-08  1.19999995e+00 -2.28388365e-07  0.00000000e+00  0.00000000e+00 
 5.97500000e-10  5.94827010e-08  1.19999995e+00 -3.53149199e-07  0.00000000e+00  0.00000000e+00 
 6.02500000e-10  5.94829535e-08  1.19999995e+00 -4.93914815e-07  0.00000000e+00  0.00000000e+00 
 6.07500000e-10  5.94831373e-08  1.19999995e+00 -6.66891945e-07  0.00000000e+00  0.00000000e+00 
 6.12500000e-10  5.94835959e-08  1.19999995e+00 -8.54288460e-07  0.00000000e+00  0.00000000e+00 
 6.17500000e-10  5.94850584e-08  1.19999995e+00 -8.76233824e-07  0.00000000e+00  0.00000000e+00 
 6.22500000e-10  5.94862728e-08  1.19999995e+00 -4.46002923e-07  0.00000000e+00  0.00000000e+00 
