corner,vdd_v,temp_c,vctrl_v,up_a,down_a,both_a,mismatch_pct
sf,1.08,-40,0.60,2.443815e-06,-2.31981e-06,1.240045e-07,5.2063
sf,1.08,-40,0.70,2.403974e-06,-2.33793e-06,6.603872e-08,2.7855
sf,1.08,-40,0.80,2.347643e-06,-2.3541e-06,-6.45362e-09,0.2747
sf,1.08,-40,0.90,2.265426e-06,-2.36886e-06,-1.03437e-07,4.4639
sf,1.08,27,0.50,2.635495e-06,-2.39817e-06,2.372423e-07,9.4295
sf,1.08,27,0.60,2.614243e-06,-2.48775e-06,1.264211e-07,4.9586
sf,1.08,27,0.70,2.579478e-06,-2.51303e-06,6.638958e-08,2.6096
sf,1.08,27,0.80,2.53142e-06,-2.53249e-06,-1.12468e-09,0.0423
sf,1.08,27,0.90,2.457464e-06,-2.55004e-06,-9.26244e-08,3.6975
sf,1.08,125,0.50,2.918573e-06,-2.58799e-06,3.272427e-07,12.0069
sf,1.08,125,0.60,2.896467e-06,-2.72912e-06,1.643472e-07,5.9495
sf,1.08,125,0.70,2.865497e-06,-2.78055e-06,8.227519e-08,3.0091
sf,1.08,125,0.80,2.822144e-06,-2.80637e-06,1.341821e-08,0.5605
sf,1.08,125,0.90,2.741372e-06,-2.82813e-06,-8.87787e-08,3.1155
sf,1.20,-40,0.50,2.71561e-06,-2.31812e-06,3.974842e-07,15.7931
sf,1.20,-40,0.60,2.700685e-06,-2.49151e-06,2.091766e-07,8.0573
sf,1.20,-40,0.70,2.66724e-06,-2.54925e-06,1.179838e-07,4.5237
sf,1.20,-40,0.80,2.621125e-06,-2.5674e-06,5.372282e-08,2.0709
sf,1.20,-40,0.90,2.561321e-06,-2.58336e-06,-2.20356e-08,0.8568
sf,1.20,27,0.50,2.875662e-06,-2.43164e-06,4.439349e-07,16.7325
sf,1.20,27,0.60,2.858457e-06,-2.61863e-06,2.397451e-07,8.7575
sf,1.20,27,0.70,2.829043e-06,-2.71148e-06,1.174899e-07,4.2438
sf,1.20,27,0.80,2.790385e-06,-2.73735e-06,5.297208e-08,1.9189
sf,1.20,27,0.90,2.74007e-06,-2.7566e-06,-1.65879e-08,0.6015
sf,1.20,125,0.50,3.141136e-06,-2.60672e-06,5.307194e-07,18.5953
sf,1.20,125,0.60,3.122393e-06,-2.8006e-06,3.184518e-07,10.8659
sf,1.20,125,0.70,3.096499e-06,-2.93924e-06,1.542639e-07,5.2109
sf,1.20,125,0.80,3.063506e-06,-2.99208e-06,6.875908e-08,2.3590
sf,1.20,125,0.90,3.019497e-06,-3.0178e-06,-6.53976e-10,0.0562
sf,1.32,-40,0.50,2.958867e-06,-2.32805e-06,6.308178e-07,23.8633
sf,1.32,-40,0.60,2.947237e-06,-2.53638e-06,4.108516e-07,14.9849
sf,1.32,-40,0.70,2.918483e-06,-2.70641e-06,2.120718e-07,7.5405
sf,1.32,-40,0.80,2.878362e-06,-2.76931e-06,1.090488e-07,3.8618
sf,1.32,-40,0.90,2.828784e-06,-2.78755e-06,4.123454e-08,1.4684
