corner,vdd_v,temp_c,vctrl_v,vbp_v,freq_hz,current_a,power_w,energy_j,vmin_v,vmax_v
ss,1.08,27,0.4,7.91274e-01,FAIL,FAIL,FAIL,FAIL,4.73154e-05,2.14229e-04
ss,1.08,27,0.45,6.07700e-01,FAIL,FAIL,FAIL,FAIL,-3.65233e-04,2.09755e-03
ss,1.08,27,0.5,5.46821e-01,FAIL,FAIL,FAIL,FAIL,1.29601e-01,1.08000e+00
ss,1.08,27,0.55,4.93038e-01,FAIL,FAIL,FAIL,FAIL,-5.53370e-03,1.08926e+00
ss,1.08,27,0.6,0.437316,376947405,6.4882e-06,7.007256e-06,1.85894794e-14,-0.0111253,1.0971
ss,1.08,27,0.65,0.380275,657725978,1.09093e-05,1.1782044e-05,1.79133019e-14,-0.0171945,1.10512
ss,1.08,27,0.7,0.323831,998382620,1.79133e-05,1.9346364e-05,1.93777051e-14,-0.022512,1.11233
ss,1.08,27,0.75,0.269128,1.36102567e+09,2.55402e-05,2.7583416e-05,2.02666391e-14,-0.0263855,1.118
ss,1.08,27,0.8,0.21855,1.69500144e+09,3.28356e-05,3.5462448e-05,2.09217804e-14,-0.028746,1.12095
ss,1.08,27,0.85,0.175948,1.96201538e+09,3.82414e-05,4.1300712e-05,2.10501469e-14,-0.0300234,1.12041
ss,1.08,27,0.9,0.143645,2.15782319e+09,4.21336e-05,4.5504288e-05,2.10880522e-14,-0.030679,1.11533
ss,1.08,27,0.95,0.120449,2.29779412e+09,4.50433e-05,4.8646764e-05,2.11710717e-14,-0.0310301,1.10559
ss,1.08,125,0.35,6.93998e-01,FAIL,FAIL,FAIL,FAIL,-7.10705e-05,5.38183e-01
ss,1.08,125,0.4,6.41471e-01,FAIL,FAIL,FAIL,FAIL,7.86100e-02,1.08000e+00
ss,1.08,125,0.45,5.88491e-01,FAIL,FAIL,FAIL,FAIL,1.36855e-06,1.08319e+00
ss,1.08,125,0.5,5.32049e-01,FAIL,FAIL,FAIL,FAIL,-3.67195e-03,1.08649e+00
ss,1.08,125,0.55,0.474141,471204682,7.49911e-06,8.0990388e-06,1.71879421e-14,-0.00649978,1.09084
