time_ns,d_p,d_n,vos,vod,core_p,core_n
2.525000000000000022e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.948730370000000109e-08,1.199999950000000037e+00
2.575000000000000067e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.948706040000000129e-08,1.199999950000000037e+00
2.625000000000000111e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.948681379999999878e-08,1.199999950000000037e+00
2.675000000000000155e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.948663789999999730e-08,1.199999950000000037e+00
2.724999999999999645e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.948656720000000289e-08,1.199999950000000037e+00
2.775000000000000244e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.948655159999999792e-08,1.199999950000000037e+00
2.825000000000000289e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.948657909999999841e-08,1.199999950000000037e+00
2.874999999999999778e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.948660840000000279e-08,1.199999950000000037e+00
2.925000000000000377e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.948665139999999995e-08,1.199999950000000037e+00
2.974999999999999867e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.948667799999999851e-08,1.199999950000000037e+00
3.024999999999999911e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.948670549999999900e-08,1.199999950000000037e+00
3.075000000000000511e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.948671420000000012e-08,1.199999950000000037e+00
3.125000000000000000e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.948671040000000222e-08,1.199999950000000037e+00
3.175000000000000044e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.948671190000000104e-08,1.199999950000000037e+00
3.225000000000000089e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.948671139999999923e-08,1.199999950000000037e+00
3.275000000000000133e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.948671019999999885e-08,1.199999950000000037e+00
3.324999999999999623e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.948670119999999928e-08,1.199999950000000037e+00
3.375000000000000222e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.948669900000000189e-08,1.199999950000000037e+00
3.425000000000000266e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.948670419999999693e-08,1.199999950000000037e+00
3.474999999999999756e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.948669879999999852e-08,1.199999950000000037e+00
3.525000000000000355e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.948669700000000125e-08,1.199999950000000037e+00
